backend,dim,dtype,solver,case,grid_size,tol,max_iter,repeat_runs,cycle,nu,omega,mg_coarse,coarse_steps,omp_num_threads,iterations,residual_l2,error_l2,error_linf,time_ms
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.1,sor,16,,8,3.288861e-10,4.546388e-09,8.836658e-09,135.037
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.15,exact,,,7,3.509213e-10,4.54629e-09,8.836392e-09,123.704
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.15,sor,16,,7,3.511798e-10,4.546301e-09,8.836406e-09,124.472
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.2,exact,,,7,3.619456e-10,4.54638e-09,8.836601e-09,127.697
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.2,sor,16,,7,3.619117e-10,4.546386e-09,8.836609e-09,125.65
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.25,exact,,,8,3.862726e-10,4.546387e-09,8.836614e-09,135.295
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.25,sor,1,,8,3.861698e-10,4.546387e-09,8.836611e-09,132.11
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.25,sor,2,,8,3.861593e-10,4.546384e-09,8.836619e-09,131.405
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.25,sor,4,,8,3.861746e-10,4.546386e-09,8.836605e-09,131.108
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.25,sor,6,,8,3.863856e-10,4.546383e-09,8.836609e-09,129.907
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.25,sor,8,,8,3.859216e-10,4.546388e-09,8.836622e-09,136.262
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.25,sor,12,,8,3.862198e-10,4.546387e-09,8.836609e-09,131.271
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.25,sor,16,,8,3.86327e-10,4.546375e-09,8.836621e-09,129.614
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.3,exact,,,8,8.81454e-10,4.546421e-09,8.836675e-09,139.766
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.3,sor,16,,8,8.812511e-10,4.546426e-09,8.836685e-09,137.854
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.35,exact,,,9,6.155965e-10,4.546369e-09,8.836599e-09,151.219
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.35,sor,16,,9,6.159081e-10,4.546365e-09,8.836583e-09,158.952
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.4,exact,,,10,5.489325e-10,4.546368e-09,8.836573e-09,164.785
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.4,sor,16,,10,5.491625e-10,4.546368e-09,8.836584e-09,160.35
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.45,exact,,,11,5.47285e-10,4.546391e-09,8.836614e-09,171.332
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.45,sor,16,,11,5.472437e-10,4.546392e-09,8.836631e-09,174.297
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.5,exact,,,12,6.461324e-10,4.546381e-09,8.836588e-09,184.898
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,3,1.5,sor,16,,12,6.460725e-10,4.546376e-09,8.836608e-09,182.87
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,4,1.25,exact,,,7,3.782276e-10,4.546369e-09,8.836595e-09,148.265
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,4,1.25,sor,1,,7,3.781589e-10,4.546371e-09,8.836574e-09,142.968
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,4,1.25,sor,2,,7,3.784995e-10,4.546378e-09,8.836612e-09,165.722
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,4,1.25,sor,4,,7,3.782274e-10,4.54638e-09,8.836602e-09,149.383
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,4,1.25,sor,6,,7,3.784077e-10,4.546373e-09,8.836638e-09,149.194
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,4,1.25,sor,8,,7,3.78395e-10,4.546376e-09,8.83661e-09,150.861
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,4,1.25,sor,12,,7,3.783125e-10,4.546372e-09,8.83659e-09,147.723
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,4,1.25,sor,16,,7,3.78268e-10,4.546378e-09,8.836613e-09,144.721
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,5,1.25,exact,,,6,9.44088e-10,4.546355e-09,8.836567e-09,148.711
cuda,2,double,mg,cosine,4095,1e-09,15,5,v,5,1.25,sor,16,,6,9.440564e-10,4.546347e-09,8.836564e-09,152.013
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,1,1.25,exact,,,13,4.809641e-10,4.546383e-09,8.83661e-09,430.645
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,1,1.25,sor,16,,13,4.812078e-10,4.546379e-09,8.836588e-09,284.018
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,2,1.25,exact,,,8,8.869345e-10,4.546386e-09,8.836604e-09,321.269
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,2,1.25,sor,16,,8,8.868341e-10,4.54638e-09,8.836622e-09,231.313
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.0,exact,,,8,3.091421e-10,4.546381e-09,8.836616e-09,371.255
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.0,sor,16,,8,3.089707e-10,4.54638e-09,8.836624e-09,278.547
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.05,exact,,,7,8.565928e-10,4.546372e-09,8.83659e-09,330.279
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.05,sor,16,,7,8.564578e-10,4.546377e-09,8.836584e-09,249.719
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.1,exact,,,7,3.399859e-10,4.546388e-09,8.83661e-09,331.456
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.1,sor,16,,7,3.398815e-10,4.546384e-09,8.836615e-09,249.782
cuda,2,double,mg,cosine,4095,1e-09,15,5,w,3,1.15,exact,,,6,5.262456e-10,4.54641e-09,8.836653e-09,284.789
