dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,255,6,2.434944e-11,1.163837e-06,2.262062e-06,7.838000e+00,7.838000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,319,6,3.524244e-11,7.448642e-07,1.447659e-06,7.791000e+00,7.791000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,383,6,4.727363e-11,5.172701e-07,1.005378e-06,1.308400e+01,1.308400e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,511,6,7.466930e-11,2.909662e-07,5.655295e-07,1.488200e+01,1.488200e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,639,6,1.059220e-10,1.862189e-07,3.619446e-07,1.695500e+01,1.695500e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,767,6,1.405183e-10,1.293189e-07,2.513476e-07,2.793300e+01,2.793300e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,1023,6,2.190946e-10,7.274200e-08,1.413846e-07,3.283700e+01,3.283700e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,1279,6,3.084394e-10,4.655491e-08,9.048653e-08,3.843600e+01,3.843600e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,1535,6,4.080157e-10,3.232982e-08,6.283795e-08,6.229200e+01,6.229200e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,2047,6,6.329706e-10,1.818553e-08,3.534633e-08,8.022100e+01,8.022100e-02,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,2559,6,8.897634e-10,1.163874e-08,2.262166e-08,1.134270e+02,1.134270e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,3071,7,2.097979e-10,8.082456e-09,1.570950e-08,2.041750e+02,2.041750e-01,1.000000e-09,15,4,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.25,mg,cuda,double,4095,7,3.730876e-10,4.546385e-09,8.836610e-09,2.846960e+02,2.846960e-01,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,127,3,7.228834e-10,2.510052e-05,5.020104e-05,6.870000e-01,6.870000e-04,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,159,3,1.713212e-10,1.606412e-05,3.212824e-05,9.560000e-01,9.560000e-04,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,191,3,2.158555e-10,1.115558e-05,2.231115e-05,6.980000e-01,6.980000e-04,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,255,3,7.225221e-10,6.275031e-06,1.255007e-05,9.970000e-01,9.970000e-04,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,319,3,2.718296e-10,4.015972e-06,8.031944e-06,1.336000e+00,1.336000e-03,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,3,3.090861e-10,2.788868e-06,5.577738e-06,1.209000e+00,1.209000e-03,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,511,3,7.555634e-10,1.568792e-06,3.137587e-06,1.713000e+00,1.713000e-03,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,639,3,3.625815e-10,1.003990e-06,2.007979e-06,2.538000e+00,2.538000e-03,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,767,3,3.947916e-10,6.972171e-07,1.394437e-06,2.747000e+00,2.747000e-03,1.000000e-09,15,4,true,wrapper
2,sine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,1023,3,7.974213e-10,3.922403e-07,7.844835e-07,4.544000e+00,4.544000e-03,1.000000e-09,15,4,true,wrapper
