dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,backend,dtype,omp_num_threads,grid_size,cells,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,time_per_cell_us,throughput_cells_per_s,tol,max_iter,repeat_runs,converged,source
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,4095,16769025,8,3.896009e-10,4.546405e-09,8.836565e-09,1.481218e+03,1.481218e+00,8.833060e-02,1.132111e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,4095,16769025,8,3.896009e-10,4.546405e-09,8.836565e-09,1.441262e+03,1.441262e+00,8.594787e-02,1.163496e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,4095,16769025,8,3.896009e-10,4.546405e-09,8.836565e-09,1.453337e+03,1.453337e+00,8.666795e-02,1.153829e+07,1.000000e-09,150,5,true,wrapper
2,cosine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,4095,16769025,8,3.896009e-10,4.546405e-09,8.836565e-09,1.453998e+03,1.453998e+00,8.670737e-02,1.153305e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,127,16129,4,1.963370e-10,2.510045e-05,5.020090e-05,7.220000e-01,7.220000e-04,4.476409e-02,2.233934e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,127,16129,4,1.980995e-10,2.510045e-05,5.020090e-05,6.170000e-01,6.170000e-04,3.825408e-02,2.614100e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,127,16129,4,1.980995e-10,2.510045e-05,5.020090e-05,5.710000e-01,5.710000e-04,3.540207e-02,2.824694e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,127,16129,4,1.980995e-10,2.510045e-05,5.020090e-05,5.100000e-01,5.100000e-04,3.162006e-02,3.162549e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,127,16129,4,1.980995e-10,2.510045e-05,5.020090e-05,5.680000e-01,5.680000e-04,3.521607e-02,2.839613e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,127,16129,4,1.980995e-10,2.510045e-05,5.020090e-05,6.000000e-01,6.000000e-04,3.720007e-02,2.688167e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,127,16129,4,1.980995e-10,2.510045e-05,5.020090e-05,1.589000e+00,1.589000e-03,9.851820e-02,1.015041e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,127,16129,4,1.980995e-10,2.510045e-05,5.020090e-05,1.481000e+00,1.481000e-03,9.182218e-02,1.089061e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,255,65025,4,2.387709e-10,6.274967e-06,1.254993e-05,1.079000e+00,1.079000e-03,1.659362e-02,6.026413e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,255,65025,4,2.403329e-10,6.274967e-06,1.254993e-05,2.323000e+00,2.323000e-03,3.572472e-02,2.799182e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,255,65025,4,2.403329e-10,6.274967e-06,1.254993e-05,1.508000e+00,1.508000e-03,2.319108e-02,4.312003e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,255,65025,4,2.403329e-10,6.274967e-06,1.254993e-05,1.255000e+00,1.255000e-03,1.930027e-02,5.181275e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,255,65025,4,2.403329e-10,6.274967e-06,1.254993e-05,1.212000e+00,1.212000e-03,1.863899e-02,5.365099e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,255,65025,4,2.403329e-10,6.274967e-06,1.254993e-05,1.277000e+00,1.277000e-03,1.963860e-02,5.092013e+07,1.000000e-09,150,5,true,wrapper
